"bid","site","treatment","date","time","plant_species","poll_species","poll_genus","poll_simple","pollinia","corbs","X"
"A106","gf1","damage",2018-07-13,"10:28:00","milkweed","Lasioglossum","Lasiglossum","Other Bees",0,0,""
"A107","gf1","damage",2018-07-13,"10:29:00","milkweed","Physocephala spp","Physocephala","Diptera",2,0,""
"A108","gf1","damage",2018-07-13,"10:35:00","milkweed","Bombus vagans","Bombus","Bombus",9,0,""
"A109","gf1","damage",2018-07-13,"10:35:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"A110","gf1","control",2018-07-13,"11:22:00","milkweed","Other","Other","Other",0,0,""
"A112","gf1","control",2018-07-13,"11:27:00","milkweed","Apis mellifera","Apis","Apis",6,0,""
"A113","gf1","control",2018-07-13,"11:27:00","milkweed","Bombus vagans","Bombus","Bombus",4,0,""
"A114","gf1","control",2018-07-13,"11:31:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A115","gf1","control",2018-07-13,"11:31:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A117","gf1","control",2018-07-13,"11:33:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A119","gf1","control",2018-07-13,"11:49:00","milkweed","Apis mellifera","Apis","Apis",10,0,""
"A12","gf1","control",2018-07-11,"11:10:00","milkweed","Juriniopsis adusta","Juriniopsis","Diptera",0,0,""
"A120","gf1","control",2018-07-13,"11:49:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A121","gf1","control",2018-07-13,"11:49:00","milkweed","Apis mellifera","Apis","Apis",14,0,""
"A122","gf1","damage",2018-07-13,"13:08:00","milkweed","Bombus vagans","Bombus","Bombus",3,0,""
"A123","gf1","damage",2018-07-13,"13:08:00","milkweed","Bombus vagans","Bombus","Bombus",0,0,""
"A124","gf1","damage",2018-07-13,"13:13:00","milkweed","Bombus griseocollis","Bombus","Bombus",6,0,""
"A125","gf1","damage",2018-07-13,"13:13:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A127","gf1","damage",2018-07-13,"13:18:00","milkweed","Apis mellifera","Apis","Apis",8,0,""
"A129","gf1","damage",2018-07-13,"13:21:00","milkweed","Bombus vagans","Bombus","Bombus",0,0,""
"A13","gf1","control",2018-07-11,"11:15:00","milkweed","Diptera","Diptera","Diptera",0,0,""
"A131","gf1","damage",2018-07-13,"13:33:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"A132","gf1","control",2018-07-13,"14:21:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A134","gf1","control",2018-07-13,"14:25:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A135","gf1","control",2018-07-13,"14:25:00","milkweed","Lasioglossum","Lasiglossum","Other Bees",0,0,""
"A136","gf1","control",2018-07-13,"14:25:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A138","gf1","control",2018-07-13,"14:37:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"A139","gf1","control",2018-07-13,"14:44:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A14","gf1","control",2018-07-11,"11:17:00","milkweed","Other","Other","Other",0,0,""
"A15","gf1","damage",2018-07-11,"00:47:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"A16","gf1","damage",2018-07-11,"00:50:00","milkweed","Bombus vagans","Bombus","Bombus",4,0,""
"A17","gf1","damage",2018-07-11,"00:52:00","milkweed","Lepidoptera","Lepidoptera","Lepidoptera",0,0,""
"A18","gf1","damage",2018-07-11,"00:58:00","milkweed","Bombus vagans","Bombus","Bombus",7,0,""
"A19","gf1","damage",2018-07-11,"00:58:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,1,""
"A2","gf1","damage",2018-07-11,"09:47:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A21","gf1","damage",2018-07-11,"13:04:00","milkweed","Apis mellifera","Apis","Apis",10,0,""
"A22","gf1","damage",2018-07-11,"13:12:00","milkweed","Lasioglossum","Lasiglossum","Other Bees",0,0,""
"A23","gf1","damage",2018-07-11,"13:12:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A25","gf1","control",2018-07-11,"14:03:00","milkweed","Bombus vagans","Bombus","Bombus",5,0,""
"A26","gf1","control",2018-07-11,"14:09:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"A28","gf1","control",2018-07-11,"14:12:00","milkweed","Other","Other","Other",0,0,""
"A29","gf1","control",2018-07-11,"14:12:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"A3","gf1","damage",2018-07-11,"09:54:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A30","gf1","control",2018-07-11,"14:20:00","milkweed","Lasioglossum","Lasiglossum","Other Bees",0,0,""
"A4","gf1","damage",2018-07-11,"10:01:00","milkweed","Bombus vagans","Bombus","Bombus",8,0,""
"A5","gf1","damage",2018-07-11,"10:05:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"A50","gf3","control",2018-07-12,"09:10:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A51","gf3","control",2018-07-12,"09:16:00","milkweed","Diptera","Diptera","Diptera",7,0,""
"A53","gf3","control",2018-07-12,"09:23:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A54","gf3","control",2018-07-12,"09:25:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"A55","gf3","control",2018-07-12,"09:32:00","milkweed","Diptera","Diptera","Diptera",2,0,""
"A56","gf3","control",2018-07-12,"09:35:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A57","gf3","damage",2018-07-12,"10:27:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"A58","gf3","damage",2018-07-12,"10:32:00","milkweed","Eristalis flavipes","Eristalis","Diptera",0,0,""
"A59","gf3","damage",2018-07-12,"10:36:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"A6","gf1","damage",2018-07-11,"10:07:00","milkweed","Bombus vagans","Bombus","Bombus",4,0,""
"A60","gf3","damage",2018-07-12,"10:36:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"A61","gf3","damage",2018-07-12,"10:45:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"A62","gf3","damage",2018-07-12,"10:50:00","milkweed","Augochlora","Augochlora","Other Bees",0,0,""
"A63","gf3","control",2018-07-12,"00:05:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,NA,""
"A65","gf3","control",2018-07-12,"00:13:00","milkweed","Bombus impatiens","Bombus","Bombus",0,0,""
"A66","gf3","control",2018-07-12,"00:17:00","milkweed","Lasioglossum","Lasiglossum","Other Bees",0,0,""
"A67","gf3","control",2018-07-12,"00:25:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A68","gf3","control",2018-07-12,"00:25:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A69","gf3","control",2018-07-12,"00:30:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A70","gf3","control",2018-07-12,"00:34:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A71","gf3","damage",2018-07-12,"13:23:00","milkweed","Apis mellifera","Apis","Apis",11,0,""
"A72","gf3","damage",2018-07-12,"13:26:00","milkweed","Augochlora","Augochlora","Other Bees",0,0,""
"A73","gf3","damage",2018-07-12,"13:29:00","milkweed","Augochlora","Augochlora","Other Bees",0,0,""
"A74","gf3","damage",2018-07-12,"13:29:00","milkweed","Augochlora","Augochlora","Other Bees",4,0,""
"A76","gf3","damage",2018-07-12,"13:35:00","milkweed","Augochlora","Augochlora","Other Bees",0,0,""
"A77","gf3","damage",2018-07-12,"13:36:00","milkweed","Other","Other","Other",2,0,""
"A8","gf1","control",2018-07-11,"10:58:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A9","gf1","control",2018-07-11,"10:58:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B10","gf1","control",2018-07-11,"10:59:00","milkweed","Apis mellifera","Apis","Apis",14,0,""
"B100","gf1","control",2018-07-13,"10:10:00","milkweed","Apis mellifera","Apis","Apis",7,0,""
"B101","gf1","control",2018-07-13,"10:13:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"B102","gf1","control",2018-07-13,"10:15:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"B103","gf1","control",2018-07-13,"10:17:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"B104","gf1","control",2018-07-13,"10:18:00","milkweed","Other","Other","Other",2,0,""
"B105","gf1","control",2018-07-13,"10:19:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B107","gf1","control",2018-07-13,"10:26:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"B11","gf1","control",2018-07-11,"11:02:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B110","gf1","control",2018-07-13,"10:32:00","milkweed","Diptera","Diptera","Diptera",0,0,""
"B111","gf1","control",2018-07-13,"10:33:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B112","gf1","damage",2018-07-13,"11:27:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"B113","gf1","damage",2018-07-13,"11:28:00","milkweed","Bombus vagans","Bombus","Bombus",4,1,""
"B114","gf1","damage",2018-07-13,"11:28:00","milkweed","Apis mellifera","Apis","Apis",1,0,""
"B116","gf1","damage",2018-07-13,"11:30:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"B117","gf1","damage",2018-07-13,"11:31:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"B118","gf1","damage",2018-07-13,"11:32:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B119","gf1","damage",2018-07-13,"11:32:00","milkweed","Diptera","Diptera","Diptera",2,0,""
"B12","gf1","control",2018-07-11,"13:06:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"B120","gf1","damage",2018-07-13,"11:33:00","milkweed","Apis mellifera","Apis","Apis",1,0,""
"B121","gf1","damage",2018-07-13,"11:34:00","milkweed","Apis mellifera","Apis","Apis",6,0,""
"B122","gf1","damage",2018-07-13,"11:34:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",3,0,""
"B123","gf1","damage",2018-07-13,"11:36:00","milkweed","Bombus vagans","Bombus","Bombus",3,0,""
"B125","gf1","damage",2018-07-13,"11:40:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"B126","gf1","damage",2018-07-13,"11:40:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B127","gf1","damage",2018-07-13,"11:41:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B128","gf1","damage",2018-07-13,"11:43:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B129","gf1","damage",2018-07-13,"11:43:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B13","gf1","control",2018-07-11,"11:10:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B130","gf1","damage",2018-07-13,"11:45:00","milkweed","Lepidoptera","Lepidoptera","Lepidoptera",0,0,""
"B131","gf1","damage",2018-07-13,"11:46:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"B132","gf1","damage",2018-07-13,"11:50:00","milkweed","Apis mellifera","Apis","Apis",1,0,""
"B133","gf1","damage",2018-07-13,"11:55:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"B134","gf1","control",2018-07-13,"13:19:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"B135","gf1","control",2018-07-13,"13:22:00","milkweed","Bombus vagans","Bombus","Bombus",4,0,""
"B136","gf1","control",2018-07-13,"13:22:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"B138","gf1","control",2018-07-13,"13:28:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"B139","gf1","control",2018-07-13,"13:28:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B14","gf1","control",2018-07-11,"11:15:00","milkweed","Apis mellifera","Apis","Apis",11,1,""
"B140","gf1","control",2018-07-13,"13:28:00","milkweed","Bombus vagans","Bombus","Bombus",11,0,""
"B142","gf1","control",2018-07-13,"13:29:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"B143","gf1","control",2018-07-13,"13:33:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B144","gf1","control",2018-07-13,"13:33:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"B145","gf1","control",2018-07-13,"13:36:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",4,0,""
"B146","gf1","control",2018-07-13,"13:39:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"B147","gf1","control",2018-07-13,"13:42:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B148","gf1","control",2018-07-13,"13:48:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B15","gf1","control",2018-07-11,"11:20:00","milkweed","Apis mellifera","Apis","Apis",9,0,""
"B150","gf1","damage",2018-07-13,"14:28:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"B151","gf1","damage",2018-07-13,"14:31:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"B152","gf1","damage",2018-07-13,"14:34:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"B153","gf1","damage",2018-07-13,"14:34:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B154","gf1","damage",2018-07-13,"14:37:00","milkweed","Bombus vagans","Bombus","Bombus",0,0,""
"B156","gf1","damage",2018-07-13,"14:44:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B157","gf1","damage",2018-07-13,"14:44:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"B158","gf1","damage",2018-07-13,NA,"milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B159","gf1","damage",2018-07-13,"14:47:00","milkweed","Lasioglossum","Lasiglossum","Other Bees",0,0,""
"B16","gf1","damage",2018-07-11,"00:42:00","milkweed","Bombus griseocollis","Bombus","Bombus",2,0,""
"B161","gf1","damage",2018-07-13,"14:51:00","milkweed","Bombus vagans","Bombus","Bombus",0,0,""
"B162","gf1","damage",2018-07-13,"14:52:00","milkweed","Bombus griseocollis","Bombus","Bombus",8,0,""
"B163","gf1","damage",2018-07-13,"14:54:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B164","gf1","damage",2018-07-13,"14:55:00","milkweed","Bombus vagans","Bombus","Bombus",2,0,""
"B17","gf1","damage",2018-07-11,"00:45:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"B18","gf1","damage",2018-07-11,"00:50:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B19","gf1","damage",2018-07-11,"00:55:00","milkweed","Apis mellifera","Apis","Apis",8,0,""
"B2","gf1","damage",2018-07-11,"09:46:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"B20","gf1","damage",2018-07-11,"13:05:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"B200","gf3","control",2018-07-16,"09:22:00","milkweed","Bombus griseocollis","Bombus","Bombus",2,0,""
"B201","gf3","control",2018-07-16,"09:30:00","milkweed","Diptera","Diptera","Diptera",0,0,""
"B202","gf3","control",2018-07-16,"09:31:00","milkweed","Other","Other","Other",0,0,""
"B203","gf3","control",2018-07-16,"09:36:00","milkweed","Andrena","Andrena","Other Bees",0,0,""
"B204","gf3","control",2018-07-16,"09:36:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B205","gf3","control",2018-07-16,"09:39:00","milkweed","Bombus vagans","Bombus","Bombus",7,0,""
"B206","gf3","control",2018-07-16,"09:44:00","milkweed","Bombus impatiens","Bombus","Bombus",0,1,""
"B208","gf3","control",2018-07-16,"09:46:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"B21","gf1","damage",2018-07-11,"13:12:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B210","gf3","damage",2018-07-16,"10:35:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B211","gf3","damage",2018-07-16,"10:40:00","milkweed","Diptera","Diptera","Diptera",0,0,""
"B215","gf3","damage",2018-07-16,"10:50:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"B216","gf3","damage",2018-07-16,"10:54:00","milkweed","Megachile ","Megachile","Other Bees",0,0,""
"B217","gf3","damage",2018-07-16,"10:59:00","milkweed","Bombus vagans","Bombus","Bombus",0,0,""
"B218","gf3","damage",2018-07-16,"11:00:00","milkweed","Apis mellifera","Apis","Apis",6,0,""
"B220","gf3","control",2018-07-16,"00:17:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B221","gf3","control",2018-07-16,"00:25:00","milkweed","Other","Other","Other",0,0,""
"B222","gf3","control",2018-07-16,"00:27:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",6,0,""
"B223","gf3","control",2018-07-16,"00:29:00","milkweed","Wasp","Wasp","Wasp",0,0,""
"B224","gf3","control",2018-07-16,"00:30:00","milkweed","Syrphus","Syrphus","Diptera",0,0,""
"B225","gf3","control",2018-07-16,"00:30:00","milkweed","Other","Other","Other",0,0,""
"B226","gf3","control",2018-07-16,"00:33:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",4,0,""
"B227","gf3","control",2018-07-16,"00:37:00","milkweed","Pollenia rudis","Pollenia","Diptera",0,0,""
"B23","gf1","control",2018-07-11,"14:02:00","milkweed","Bombus vagans","Bombus","Bombus",6,0,""
"B231","gf3","damage",2018-07-16,"13:01:00","milkweed","Lasioglossum","Lasiglossum","Other Bees",0,0,""
"B232","gf3","damage",2018-07-16,"13:07:00","milkweed","Other","Other","Other",0,0,""
"B233","gf3","damage",2018-07-16,"13:16:00","milkweed","Augochlora","Augochlora","Other Bees",0,0,""
"B235","gf3","damage",2018-07-16,"13:25:00","milkweed","Other","Other","Other",0,0,""
"B24","gf1","control",2018-07-11,"14:05:00","milkweed","Apis mellifera","Apis","Apis",6,0,""
"B25","gf1","control",2018-07-11,"14:10:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"B26","gf1","control",2018-07-11,"14:17:00","milkweed","Apis mellifera","Apis","Apis",14,0,""
"B27","gf1","control",2018-07-11,"14:20:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"B3","gf1","damage",2018-07-11,"09:51:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B4","gf1","damage",2018-07-11,"09:55:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B5","gf1","damage",2018-07-11,"09:57:00","milkweed","Apis mellifera","Apis","Apis",6,0,""
"B50","gf3","control",2018-07-12,"09:14:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"B51","gf3","control",2018-07-12,"09:23:00","milkweed","Apis mellifera","Apis","Apis",7,0,""
"B52","gf3","control",2018-07-12,"09:36:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"B53","gf3","control",2018-07-12,"09:38:00","milkweed","Apis mellifera","Apis","Apis",9,0,""
"B54","gf3","damage",2018-07-12,"10:20:00","milkweed","Lespesia archippivora","Lespesia","Diptera",0,0,""
"B55","gf3","damage",2018-07-12,"10:24:00","milkweed","Bombus impatiens","Bombus","Bombus",0,0,""
"B56","gf3","damage",2018-07-12,"10:26:00","milkweed","Andrena","Andrena","Other Bees",0,0,""
"B57","gf3","damage",2018-07-12,"10:29:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B58","gf3","damage",2018-07-12,"10:32:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B6","gf1","damage",2018-07-11,"09:59:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"B60","gf3","damage",2018-07-12,"10:42:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B61","gf3","damage",2018-07-12,"10:47:00","milkweed","Apis mellifera","Apis","Apis",9,0,""
"B62","gf3","control",2018-07-12,"00:13:00","milkweed","Apis mellifera","Apis","Apis",8,0,""
"B63","gf3","control",2018-07-12,"00:17:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"B64","gf3","control",2018-07-12,"00:22:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"B65","gf3","control",2018-07-12,"00:24:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B66","gf3","control",2018-07-12,"00:26:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B67","gf3","damage",2018-07-12,"13:20:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"B68","gf3","damage",2018-07-12,"13:24:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B69","gf3","damage",2018-07-12,"13:25:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"B7","gf1","damage",2018-07-11,"10:03:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"B70","gf3","damage",2018-07-12,"13:31:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B71","gf3","damage",2018-07-12,"13:36:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"B72","gf3","damage",2018-07-12,"13:39:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"B8","gf1","damage",2018-07-11,"10:06:00","milkweed","Bombus vagans","Bombus","Bombus",2,0,""
"B9","gf1","control",2018-07-11,"10:55:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"C1","gf1","control",2018-07-11,"09:45:00","milkweed","Apis mellifera","Apis","Apis",6,0,""
"C10","gf1","damage",2018-07-11,"11:08:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"C100","gf1","control",2018-07-13,"10:10:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C101","gf1","control",2018-07-13,"10:15:00","milkweed","Apis mellifera","Apis","Apis",11,0,""
"C102","gf1","control",2018-07-13,"10:17:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"C103","gf1","control",2018-07-13,"10:24:00","milkweed","Megachile ","Megachile","Other Bees",0,0,""
"C104","gf1","control",2018-07-13,"10:24:00","milkweed","Apis mellifera","Apis","Apis",5,1,""
"C105","gf1","control",2018-07-13,"10:26:00","milkweed","Apis mellifera","Apis","Apis",1,0,""
"C106","gf1","control",2018-07-13,"10:30:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"C108","gf1","damage",2018-07-13,"11:28:00","milkweed","Bombus vagans","Bombus","Bombus",3,0,""
"C11","gf1","damage",2018-07-11,"11:16:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"C110","gf1","damage",2018-07-13,"11:32:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C111","gf1","damage",2018-07-13,"11:35:00","milkweed","Apis mellifera","Apis","Apis",8,0,""
"C112","gf1","damage",2018-07-13,"11:42:00","milkweed","Augochlora","Augochlora","Other Bees",0,0,""
"C113","gf1","damage",2018-07-13,"11:48:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"C114","gf1","damage",2018-07-13,"11:52:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"C115","gf1","damage",2018-07-13,"11:55:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"C116","gf1","control",2018-07-13,"13:20:00","milkweed","Bombus vagans","Bombus","Bombus",7,0,""
"C12","gf1","damage",2018-07-11,"11:19:00","milkweed","Bombus griseocollis","Bombus","Bombus",1,1,""
"C121","gf1","control",2018-07-13,"13:33:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C122","gf1","control",2018-07-13,"13:35:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C123","gf1","control",2018-07-13,"13:36:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"C124","gf1","control",2018-07-13,"13:37:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"C125","gf1","control",2018-07-13,"13:42:00","milkweed","Apis mellifera","Apis","Apis",7,0,""
"C126","gf1","control",2018-07-13,"13:45:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C128","gf1","damage",2018-07-13,"14:28:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C129","gf1","damage",2018-07-13,"14:32:00","milkweed","Bombus griseocollis","Bombus","Bombus",5,0,""
"C13","gf1","control",2018-07-11,"00:45:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"C130","gf1","damage",2018-07-13,"14:37:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C131","gf1","damage",2018-07-13,"14:38:00","milkweed","Bombus vagans","Bombus","Bombus",9,0,""
"C132","gf1","damage",2018-07-13,"14:42:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"C134","gf1","damage",2018-07-13,"14:48:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
